Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,454
design__inferred_latch__count,0
design__instance__count,2693
design__instance__area,15033.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008465117425657809
power__switching__total,0.0007041621138341725
power__leakage__total,1.556756146214866E-8
power__total,0.0015506894560530782
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.33720582836018165
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2760077799990874
timing__hold__ws__corner:nom_tt_025C_1v80,0.31949244154592343
timing__setup__ws__corner:nom_tt_025C_1v80,9.49066985197063
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.319492
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.686255
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,22
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.39951940109239287
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29349354333128425
timing__hold__ws__corner:nom_ss_100C_1v60,0.889683407683121
timing__setup__ws__corner:nom_ss_100C_1v60,-0.5685851950201167
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-5.571616214985369
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.5685851950201167
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.889683
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,15
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.568585
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,15
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3102651001715406
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26805844414007063
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11000872746344341
timing__setup__ws__corner:nom_ff_n40C_1v95,10.294037913451229
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110009
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.411645
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,22
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.30882219877677847
clock__skew__worst_setup,0.26673744523686
timing__hold__ws,0.10866480245412587
timing__setup__ws,-0.7109211198731148
timing__hold__tns,0.0
timing__setup__tns,-7.700665212348478
timing__hold__wns,0
timing__setup__wns,-0.7109211198731148
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108665
timing__hold_r2r_vio__count,0
timing__setup_vio__count,44
timing__setup_r2r__ws,-0.710921
timing__setup_r2r_vio__count,44
design__die__bbox,0.0 0.0 133.97 144.69
design__core__bbox,5.52 10.88 128.34 133.28
design__io,31
design__die__area,19384.1
design__core__area,15033.2
design__instance__count__stdcell,1023
design__instance__area__stdcell,9507.87
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.632459
design__instance__utilization__stdcell,0.632459
design__rows,45
design__rows:unithd,45
design__sites,12015
design__sites:unithd,12015
design__instance__count__class:buffer,3
design__instance__area__class:buffer,11.2608
design__instance__count__class:inverter,26
design__instance__area__class:inverter,97.5936
design__instance__count__class:sequential_cell,80
design__instance__area__class:sequential_cell,2102.02
design__instance__count__class:multi_input_combinational_cell,541
design__instance__area__class:multi_input_combinational_cell,5497.77
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1670
design__instance__area__class:fill_cell,5525.3
design__instance__count__class:tap_cell,211
design__instance__area__class:tap_cell,264.003
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,29
design__io__hpwl,1198840
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,915.936
design__instance__displacement__mean,0.822
design__instance__displacement__max,28.86
route__wirelength__estimated,14368.3
design__violations,0
design__instance__count__class:timing_repair_buffer,130
design__instance__area__class:timing_repair_buffer,1177.38
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,357.843
design__instance__count__setup_buffer,14
design__instance__count__hold_buffer,60
global_route__vias,5353
global_route__wirelength,25957
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,818
route__net__special,2
route__drc_errors__iter:0,159
route__wirelength__iter:0,14841
route__drc_errors__iter:1,45
route__wirelength__iter:1,14712
route__drc_errors__iter:2,62
route__wirelength__iter:2,14708
route__drc_errors__iter:3,0
route__wirelength__iter:3,14713
route__drc_errors,0
route__wirelength,14713
route__vias,5260
route__vias__singlecut,5260
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,264.78
timing__unannotated_net__count__corner:nom_tt_025C_1v80,16
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,16
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,16
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
